publication_name,url,borough,neighborhood,frequency,sitemap_url
Mott Haven Herald,https://motthavenherald.com/,The Bronx,Mott Haven and Port Morris,Weekdays,https://motthavenherald.com/post-sitemap2.xml
Norwood news,https://www.norwoodnews.org/,The Bronx,Norwood,Regular,https://www.norwoodnews.org/post-sitemap.xml
Chelsea News,https://www.chelseanewsny.com/,Manhattan,Chelsea,Regular,https://www.chelseanewsny.com/sitemapforgoogle.xml
Tribeca Citizen,https://tribecacitizen.com/,Manhattan,Tribeca,Regular,https://tribecacitizen.com/post-sitemap16.xml
W4ST,https://w42st.com/,Manhattan,West Village,Regular,https://w42st.com/sitemap-2.xml
West Side Rag,https://www.westsiderag.com/,Manhattan,UWS,Regular,https://www.westsiderag.com/post-sitemap13.xml
The Spirit,https://www.westsidespirit.com/,Manhattan,UWS,Regular,https://www.westsidespirit.com/sitemapforgoogle.xml
New York Amsteram News,https://amsterdamnews.com/,Citywide,,Semi-frequently,https://amsterdamnews.com/news-sitemap.xml
Hell Gate,https://hellgatenyc.com/,Citywide,,Regular,https://hellgatenyc.com/sitemap-posts.xml
La Voce Di New York,https://lavocedinewyork.com/en/,Citywide,,Regular,https://lavocedinewyork.com/post-sitemap45.xml
AM NY,https://www.amny.com/,Citywide,,Regular,https://www.amny.com/post-sitemap.xml
The City,https://www.thecity.nyc/,Citywide,,Regular,https://www.thecity.nyc/post-sitemap6.xml
City and State,https://www.cityandstateny.com/,Citywide,,Regular,https://www.cityandstateny.com/sitemap-posts.xml
Gothamist,https://gothamist.com/,Citywide,,Regular,https://gothamist.com/sitemap-2024.xml
Documented,https://documentedny.com/,Citywide,,Regular,https://documentedny.com/post-sitemap3.xml
Streetsblog,https://nyc.streetsblog.org/,Citywide,,Regular,https://nyc.streetsblog.org/sitemap-13.xml
Brooklyn  Buzz,https://brooklynbuzz.com/,Brooklyn,Brooklyn,Semi-frequently,https://brooklynbuzz.com/wp-sitemap-posts-post-2.xml
Brooklyn Eagle,https://brooklyneagle.com/,Brooklyn,Brooklyn,Regular,https://brooklyneagle.com/post-sitemap58.xml
Brooklyn Paper,https://www.brooklynpaper.com/,Brooklyn,Brooklyn,Regular,https://www.brooklynpaper.com/post-sitemap.xml
Canarsie Courrier,https://canarsiecourier.com/,Brooklyn,Canarsie,Regular,https://canarsiecourier.com/post-sitemap2.xml
Rockaway Times,https://www.rockawaytimes.com/category/news-news/,Queens,Rockaways,Semi-frequently,https://www.rockawaytimes.com/wp-sitemap-posts-post-2.xml
The Broadsheet,https://www.ebroadsheet.com/,Manhattan,lowermanhattan,Semi-frequently,https://www.ebroadsheet.com/sitemap-2.xml
